date,GAP,PFGAP
1984Q4,0.078555,0.064486
1985Q1,0.543618,0.396094
1985Q2,0.507690,0.384247
1985Q3,0.448048,0.483516
1985Q4,0.493785,0.367240
1986Q1,0.307694,0.140239
1986Q2,-0.204170,-0.361565
1986Q3,-0.271147,-0.314574
1986Q4,-0.011521,-0.218871
1987Q1,0.621205,0.007945
1987Q2,1.015211,0.426636
1987Q3,1.190298,0.699458
1987Q4,1.260815,0.901856
1988Q1,1.450398,1.062696
1988Q2,2.004548,1.555576
1988Q3,2.327750,1.662298
1988Q4,2.750633,2.107993
1989Q1,3.067732,2.374211
1989Q2,2.931935,2.278176
1989Q3,2.703399,2.135078
1989Q4,2.661757,1.846591
1990Q1,2.412880,1.810608
1990Q2,1.914240,1.260582
1990Q3,1.346918,0.651867
1990Q4,0.611805,-0.354095
1991Q1,-0.372647,-1.471266
1991Q2,-1.330295,-2.139464
1991Q3,-1.915443,-2.565596
1991Q4,-2.712159,-3.195178
1992Q1,-3.404039,-3.517157
1992Q2,-3.747897,-3.597076
1992Q3,-3.954182,-3.655614
1992Q4,-3.660987,-3.342449
1993Q1,-3.143704,-3.119289
1993Q2,-2.528495,-2.729656
1993Q3,-2.082886,-2.519864
1993Q4,-1.711620,-2.088839
1994Q1,-1.290416,-1.752483
1994Q2,-0.436046,-1.040753
1994Q3,0.218872,-0.610550
1994Q4,0.386932,-0.309289
1995Q1,0.509952,-0.315164
1995Q2,0.374863,-0.497305
1995Q3,0.516422,-0.301989
1995Q4,0.507020,-0.277377
1996Q1,0.477087,-0.256522
1996Q2,0.692741,0.185531
1996Q3,1.181121,0.574886
1996Q4,1.664757,0.994904
1997Q1,2.137134,1.332156
1997Q2,2.216307,1.526883
1997Q3,2.485438,1.839753
1997Q4,2.820498,2.014831
1998Q1,3.062443,2.183012
1998Q2,3.472171,2.495265
1998Q3,3.504894,2.531788
1998Q4,3.834611,2.913666
1999Q1,3.979743,2.873700
1999Q2,4.388666,3.071465
