date,GAP,PFGAP
1984Q4,-4.069942,3.069448
1985Q1,-3.315284,3.326536
1985Q2,-3.185578,3.161721
1985Q3,-3.121627,3.086598
1985Q4,-2.967727,2.793320
1986Q1,-3.052422,2.393079
1986Q2,-3.466248,1.724398
1986Q3,-3.436709,1.612259
1986Q4,-3.080692,1.557554
1987Q1,-2.350407,1.643505
1987Q2,-1.856411,1.931603
1987Q3,-1.577702,2.084735
1987Q4,-1.398803,2.178873
1988Q1,-1.095065,2.243294
1988Q2,-0.420137,2.651855
1988Q3,0.031141,2.686469
1988Q4,0.589822,3.072175
1989Q1,1.050584,3.290215
1989Q2,1.066095,3.157238
1989Q3,0.995861,2.987542
1989Q4,1.118406,2.681588
1990Q1,1.038035,2.635742
1990Q2,0.710232,2.081648
1990Q3,0.313688,1.472598
1990Q4,-0.253412,0.467785
1991Q1,-1.075534,-0.649105
1991Q2,-1.879553,-1.320254
1991Q3,-2.322730,-1.754837
1991Q4,-2.991912,-2.400446
1992Q1,-3.573197,-2.747841
1992Q2,-3.825547,-2.864061
1992Q3,-3.961106,-2.970902
1992Q4,-3.619173,-2.718748
1993Q1,-3.075835,-2.569606
1993Q2,-2.457454,-2.266904
1993Q3,-2.031309,-2.156521
1993Q4,-1.701514,-1.836659
1994Q1,-1.342817,-1.622252
1994Q2,-0.570731,-1.042092
1994Q3,-0.016366,-0.751755
1994Q4,0.034521,-0.597256
1995Q1,0.025460,-0.755378
1995Q2,-0.254856,-1.093838
1995Q3,-0.269848,-1.057495
1995Q4,-0.445198,-1.193061
1996Q1,-0.648471,-1.332126
1996Q2,-0.611451,-1.048248
1996Q3,-0.304790,-0.813798
1996Q4,-0.003661,-0.543880
1997Q1,0.287752,-0.350402
1997Q2,0.189807,-0.291676
1997Q3,0.287886,-0.105687
1997Q4,0.460079,-0.047142
1998Q1,0.549335,0.015954
1998Q2,0.818410,0.235529
1998Q3,0.724210,0.192595
1998Q4,0.942252,0.508888
1999Q1,0.992290,0.417703
1999Q2,1.323781,0.578905
1999Q3,1.547294,0.746499
1999Q4,1.821231,0.945773
2000Q1,2.288168,1.168281
2000Q2,2.316144,1.219814
2000Q3,2.532812,1.084753
2000Q4,2.389850,0.788577
2001Q1,2.231220,0.336154
2001Q2,1.373913,-0.455548
2001Q3,0.406249,-1.481720
2001Q4,-0.534154,-2.237274
2002Q1,-1.432987,-2.903028
2002Q2,-1.473354,-2.963511
2002Q3,-1.764368,-3.131236
2002Q4,-1.892651,-3.294051
2003Q1,-2.271774,-3.500043
2003Q2,-2.567548,-3.509787
2003Q3,-2.597130,-3.198498
2003Q4,-2.194965,-2.777879
2004Q1,-1.670240,-2.459778
2004Q2,-1.465258,-2.214030
2004Q3,-1.033617,-1.728924
2004Q4,-0.483652,-1.211675
2005Q1,-0.219381,-0.851533
2005Q2,0.179762,-0.455717
2005Q3,0.483928,-0.050662
2005Q4,1.103421,0.375902
2006Q1,1.824966,1.212847
2006Q2,2.392979,1.594617
2006Q3,2.779610,1.844399
2006Q4,3.248106,2.267584
2007Q1,3.653883,2.515912
2007Q2,3.857073,2.675291
2007Q3,3.904531,2.652400
2007Q4,3.917284,2.572920
2008Q1,3.885847,2.161327
2008Q2,3.638283,1.845592
2008Q3,2.921823,0.870663
2008Q4,1.533428,-1.072756
2009Q1,-0.336394,-3.029130
2009Q2,-2.212954,-4.652285
2009Q3,-3.465741,-5.495655
2009Q4,-3.750938,-5.641734
2010Q1,-3.518995,-5.438747
2010Q2,-3.203131,-4.987918
2010Q3,-2.477385,-4.461058
2010Q4,-2.039162,-4.161136
2011Q1,-1.412958,-3.961067
2011Q2,-0.885271,-3.593671
2011Q3,-0.526392,-3.403187
2011Q4,-0.193638,-3.011317
2012Q1,0.297497,-2.579331
2012Q2,0.452618,-2.494508
2012Q3,0.723813,-2.431225
2012Q4,1.088069,-2.261605
2013Q1,1.207847,-2.069728
2013Q2,1.277620,-2.104534
2013Q3,1.249081,-2.089736
2013Q4,1.338181,-2.000088
2014Q1,1.560905,-2.040794
2014Q2,1.860812,-1.664844
2014Q3,2.228061,-1.328355
2014Q4,2.801494,-0.975177
2015Q1,3.036427,-0.812836
2015Q2,3.084491,-0.822213
2015Q3,2.985099,-0.920155
2015Q4,3.156191,-0.913256
2016Q1,3.148873,-0.934360
2016Q2,3.080248,-1.032139
2016Q3,2.968663,-1.024243
2016Q4,2.867657,-1.117117
2017Q1,3.066007,-1.046851
2017Q2,3.237223,-0.927054
2017Q3,3.228468,-0.907412
2017Q4,3.512019,-0.613181
2018Q1,3.959514,-0.317371
2018Q2,4.218223,-0.237939
2018Q3,4.492150,-0.156149
2018Q4,4.791804,-0.204554
2019Q1,4.773272,-0.403426
2019Q2,4.839785,-0.391552
2019Q3,4.969514,-0.374438
2019Q4,5.122661,-0.579019
2020Q1,3.908508,-2.282668
2020Q2,-5.492605,-11.066300
2020Q3,-3.463552,-8.235800
2020Q4,-0.623085,-6.265904
2021Q1,0.784520,-5.250426
2021Q2,2.711956,-3.901698
2021Q3,4.102624,-3.060361
2021Q4,5.086280,-2.050188
2022Q1,5.442095,-1.726150
2022Q2,5.542076,-1.446545
2022Q3,5.665743,-1.100203
2022Q4,5.308745,-1.087623
2023Q1,5.122688,-0.892589
2023Q2,4.501362,-1.056652
2023Q3,3.951435,-1.099365
2023Q4,3.764818,-1.070107
2024Q1,3.741848,-1.113519
2024Q2,3.566004,-1.090322
2024Q3,3.462583,-1.074212
2024Q4,3.643685,-0.988173
2025Q1,3.845687,-1.031174
2025Q2,3.890592,-0.976291
2025Q3,3.941158,-0.899421
2025Q4,4.095619,-0.971183
2026Q1,4.375145,-0.853240
2026Q2,4.425087,-0.789236
