date,ptr
1991Q4,4.0
1992Q1,3.7
1992Q2,3.9
1992Q3,3.75
1992Q4,3.6
1993Q1,3.5
1993Q2,3.7
1993Q3,3.45
1993Q4,3.45
1994Q1,3.45
1994Q2,3.5
1994Q3,3.5
1994Q4,3.5
1995Q1,3.3
1995Q2,3.35
1995Q3,3.2
1995Q4,3.0
1996Q1,3.0
1996Q2,3.0
1996Q3,3.0
1996Q4,3.0
1997Q1,3.0
1997Q2,2.85
1997Q3,3.0
1997Q4,2.65
1998Q1,2.6
1998Q2,2.5
1998Q3,2.5
1998Q4,2.5
1999Q1,2.3
1999Q2,2.5
1999Q3,2.5
1999Q4,2.5
2000Q1,2.5
2000Q2,2.5
2000Q3,2.5
2000Q4,2.5
2001Q1,2.5
2001Q2,2.5
2001Q3,2.5
2001Q4,2.55
2002Q1,2.5
2002Q2,2.5
2002Q3,2.5
2002Q4,2.45
2003Q1,2.5
2003Q2,2.5
2003Q3,2.5
2003Q4,2.5
2004Q1,2.5
2004Q2,2.5
2004Q3,2.5
2004Q4,2.5
2005Q1,2.45
2005Q2,2.5
2005Q3,2.5
2005Q4,2.5
2006Q1,2.5
2006Q2,2.5
2006Q3,2.5
2006Q4,2.5
2007Q1,2.35
2007Q2,2.4
2007Q3,2.4
2007Q4,2.4
2008Q1,2.5
2008Q2,2.5
2008Q3,2.5
2008Q4,2.5
2009Q1,2.4
2009Q2,2.5
2009Q3,2.5
2009Q4,2.2627
2010Q1,2.39
2010Q2,2.4
2010Q3,2.3
2010Q4,2.2
2011Q1,2.3
2011Q2,2.4
2011Q3,2.4
2011Q4,2.5
2012Q1,2.3
2012Q2,2.48
2012Q3,2.35
2012Q4,2.3
2013Q1,2.3
2013Q2,2.3
2013Q3,2.205
2013Q4,2.3
2014Q1,2.3
2014Q2,2.25
2014Q3,2.2
2014Q4,2.2
2015Q1,2.1
2015Q2,2.135
2015Q3,2.15
2015Q4,2.15
2016Q1,2.12
2016Q2,2.2
2016Q3,2.15
2016Q4,2.2161
2017Q1,2.3
2017Q2,2.3
2017Q3,2.25
2017Q4,2.2
2018Q1,2.25
2018Q2,2.3
2018Q3,2.2
2018Q4,2.21
2019Q1,2.2
2019Q2,2.2
2019Q3,2.2
2019Q4,2.2
2020Q1,2.2
2020Q2,2.135
2020Q3,2.03
2020Q4,2.12
2021Q1,2.2
2021Q2,2.3
2021Q3,2.4367
2021Q4,2.55
2022Q1,2.4981
2022Q2,2.8
2022Q3,2.8
2022Q4,2.95
2023Q1,2.37
2023Q2,2.3555
2023Q3,2.4
2023Q4,2.4
2024Q1,2.24
2024Q2,2.325
2024Q3,2.3
2024Q4,2.225
2025Q1,2.3
2025Q2,2.3492
2025Q3,2.305
2025Q4,2.38
2026Q1,2.3
2026Q2,2.4
2026Q3,2.3
