date,rstar_2side,rstar_2side_lower,rstar_2side_upper,rstar_1side,output_gap_2side,output_gap_2side_lower,output_gap_2side_upper,output_gap_1side,unemployment_gap_2side,unemployment_gap_1side,trend_growth_2side,trend_growth_1side
1961Q1,2.522604,2.522604,2.522604,2.522604,-2.931755,-6.749779,0.886269,0.000000,0.000000,0.000000,0.524087,0.000000
1961Q2,2.520928,2.295905,2.745951,2.522604,-2.614802,-5.640794,0.411190,-0.205547,2.016144,0.226940,0.524480,0.382738
1961Q3,2.518794,2.201855,2.835732,2.522690,-1.968165,-4.844934,0.908604,0.175765,2.037590,0.093388,0.523737,0.803376
1961Q4,2.515960,2.129367,2.902553,2.523373,-1.136538,-3.908541,1.635464,0.513686,1.653770,-0.079516,0.519491,0.856818
1962Q1,2.513074,2.068487,2.957661,2.524700,-0.466950,-3.167156,2.233256,0.818734,1.051026,-0.350328,0.507153,0.816632
1962Q2,2.510676,2.015632,3.005720,2.523073,-0.838895,-3.488963,1.811173,0.528607,0.799488,-0.595419,0.486783,0.704369
1962Q3,2.509313,1.969223,3.049404,2.521774,-0.953022,-3.568505,1.662461,0.392239,0.746312,-0.603846,0.467209,0.651041
1962Q4,2.509172,1.928178,3.090167,2.517775,-2.030988,-4.622819,0.560843,0.005570,1.166467,-0.642007,0.451462,0.449727
1963Q1,2.509704,1.891120,3.128289,2.517298,-2.292892,-4.868611,0.282827,0.048233,1.600232,-0.429055,0.449984,0.388176
1963Q2,2.510102,1.856662,3.163543,2.518669,-2.476523,-5.041228,0.088182,0.164813,1.937019,-0.306604,0.454532,0.333359
1963Q3,2.510583,1.824597,3.196568,2.526092,-1.606264,-4.163329,0.950801,0.665462,1.818986,-0.142271,0.462273,0.397915
1963Q4,2.511201,1.794660,3.227742,2.523140,-2.252926,-4.804526,0.298674,0.329552,1.872747,-0.340234,0.462655,0.369951
1964Q1,2.511636,1.766280,3.256993,2.528557,-1.481818,-4.029308,1.065672,0.632977,1.632720,-0.234249,0.464878,0.452773
1964Q2,2.512207,1.739574,3.284841,2.528096,-1.672459,-4.216639,0.871721,0.467776,1.532519,-0.353431,0.460589,0.442588
1964Q3,2.513486,1.714952,3.312021,2.530872,-1.429719,-3.971020,1.111581,0.558006,1.417488,-0.349935,0.459105,0.459233
1964Q4,2.514957,1.691762,3.338152,2.524179,-2.422603,-4.961215,0.116008,0.077754,1.671035,-0.487056,0.458195,0.381734
1965Q1,2.515870,1.669143,3.362598,2.535730,-1.350867,-3.886825,1.185092,0.661050,1.528588,-0.251662,0.465938,0.458256
1965Q2,2.516144,1.646915,3.385374,2.538077,-1.391296,-3.924541,1.141950,0.551463,1.412147,-0.307598,0.464211,0.462505
1965Q3,2.514927,1.624144,3.405710,2.548503,-0.429275,-2.959690,2.101139,0.899775,0.978767,-0.264478,0.457928,0.544862
1965Q4,2.511794,1.600333,3.423254,2.557390,0.626521,-1.900913,3.153955,1.109847,0.259030,-0.340973,0.435618,0.655647
1966Q1,2.507777,1.576452,3.439102,2.569436,1.918904,-0.605381,4.443190,1.409878,-0.649116,-0.499687,0.394151,0.770936
1966Q2,2.503885,1.553454,3.454316,2.567924,1.230175,-1.290786,3.751137,0.892597,-1.021938,-1.016578,0.334984,0.699791
1966Q3,2.499833,1.531005,3.468662,2.570852,1.097068,-1.420392,3.614527,0.736223,-1.114520,-1.085642,0.278109,0.636976
1966Q4,2.495564,1.509003,3.482126,2.577033,0.981901,-1.531878,3.495680,0.664122,-1.030546,-1.020821,0.224427,0.558056
1967Q1,2.491649,1.487980,3.495317,2.571248,0.948861,-1.561060,3.458783,0.325165,-0.903252,-0.646077,0.176187,0.531277
1967Q2,2.488293,1.468106,3.508479,2.568379,0.109215,-2.396672,2.615102,-0.034719,-0.563724,-0.651916,0.134394,0.390316
1967Q3,2.485200,1.449053,3.521346,2.579584,0.044326,-2.457348,2.546001,0.232034,-0.300736,-0.620919,0.107568,0.290691
1967Q4,2.481564,1.429986,3.533143,2.585891,-0.160728,-2.658011,2.336555,0.332504,-0.058409,-0.600489,0.087462,0.215873
1968Q1,2.476535,1.410025,3.543045,2.609243,0.961153,-1.531556,3.453863,1.097890,-0.316350,-0.576942,0.069470,0.245359
1968Q2,2.470723,1.389758,3.551687,2.622263,1.800830,-0.687120,4.288779,1.423769,-0.871636,-0.744347,0.040213,0.298882
1968Q3,2.464982,1.370015,3.559948,2.619863,1.743062,-0.739936,4.226060,1.163018,-1.256083,-0.981072,-0.000090,0.294968
1968Q4,2.458825,1.350290,3.567360,2.620597,1.289655,-1.188192,3.767502,0.923900,-1.328437,-1.209630,-0.042250,0.213130
1969Q1,2.452149,1.330457,3.573840,2.628732,2.048273,-0.424216,4.520761,1.174599,-1.541547,-1.028045,-0.080758,0.239564
1969Q2,2.445365,1.310912,3.579819,2.631810,1.659854,-0.807061,4.126768,0.940765,-1.520008,-1.119176,-0.123953,0.164406
1969Q3,2.438916,1.292079,3.585754,2.634321,1.640181,-0.820934,4.101295,0.769177,-1.504003,-0.980322,-0.161116,0.136238
1969Q4,2.433404,1.274544,3.592265,2.633698,0.468205,-1.986873,2.923283,0.186551,-1.080596,-0.984672,-0.193637,-0.011349
1970Q1,2.428588,1.258052,3.599124,2.625004,-0.390174,-2.838968,2.058620,-0.385108,-0.425094,-0.540787,-0.211462,-0.083333
1970Q2,2.423887,1.242007,3.605767,2.625128,-0.969668,-3.411920,1.472585,-0.682212,0.219703,-0.105685,-0.219872,-0.141428
1970Q3,2.420270,1.227365,3.613174,2.632761,-0.816349,-3.251790,1.619091,-0.604738,0.576362,0.316313,-0.221887,-0.141863
1970Q4,2.416838,1.213216,3.620461,2.627848,-2.649791,-5.078139,-0.221443,-1.260223,1.366388,0.194313,-0.223013,-0.299772
1971Q1,2.412598,1.198552,3.626643,2.653815,-0.760613,-3.181577,1.660351,-0.151558,1.207912,0.633743,-0.210847,-0.172651
1971Q2,2.408799,1.184613,3.632984,2.646618,-0.990054,-3.403332,1.423224,-0.276046,1.098069,0.441056,-0.213067,-0.189188
1971Q3,2.405715,1.171662,3.639767,2.628875,-0.925336,-3.330617,1.479945,-0.347164,0.963413,0.405345,-0.211761,-0.167172
1971Q4,2.403007,1.159349,3.646664,2.595963,-1.454217,-3.851182,0.942749,-0.825839,1.007047,0.432817,-0.207229,-0.198600
1972Q1,2.399256,1.146247,3.652266,2.620772,-0.990673,-3.378998,1.397651,-0.181929,0.992161,0.292985,-0.194227,-0.220899
1972Q2,2.394469,1.132351,3.656587,2.618880,0.466504,-1.912849,2.845858,0.278946,0.438924,0.508444,-0.183931,-0.071311
1972Q3,2.388823,1.117830,3.659816,2.615865,0.635775,-1.734275,3.005825,0.231391,-0.045054,0.193117,-0.188858,-0.044724
1972Q4,2.381080,1.101438,3.660722,2.612994,1.577641,-0.782773,3.938055,0.395787,-0.725077,0.118066,-0.199779,0.048383
1973Q1,2.371256,1.083184,3.659329,2.632153,3.283607,0.933159,5.634055,0.974919,-1.742039,-0.023794,-0.223228,0.175077
1973Q2,2.361058,1.064764,3.657352,2.670564,3.689476,1.349316,6.029636,1.180323,-2.523463,-0.672456,-0.263114,0.184379
