date,rstar_2side,rstar_2side_lower,rstar_2side_upper,rstar_1side,output_gap_2side,output_gap_2side_lower,output_gap_2side_upper,output_gap_1side,unemployment_gap_2side,unemployment_gap_1side,trend_growth_2side,trend_growth_1side
1961Q1,1.905716,1.905716,1.905716,1.905716,-2.128009,-5.062548,0.806531,0.000000,0.000000,0.000000,0.361473,0.000000
1961Q2,1.908692,1.672388,2.144995,1.905716,-1.370416,-4.266912,1.526079,0.000603,1.015535,0.041972,0.361651,0.310272
1961Q3,1.910676,1.578324,2.243028,1.905807,-0.557805,-3.351294,2.235685,0.876599,0.775076,-0.242945,0.361353,0.747240
1961Q4,1.911730,1.506906,2.316555,1.907681,0.360011,-2.403552,3.123574,1.747711,0.287460,-0.561904,0.361183,0.536723
1962Q1,1.913196,1.448283,2.378109,1.911016,1.011752,-1.752296,3.775800,2.536972,-0.148795,-0.955291,0.358514,0.383869
1962Q2,1.915440,1.398460,2.432420,1.905427,0.757981,-2.005507,3.521468,2.280580,-0.350965,-1.213843,0.350388,0.438716
1962Q3,1.918473,1.355194,2.481752,1.903925,0.652599,-2.108192,3.413391,1.986611,-0.409472,-1.208782,0.341941,0.491244
1962Q4,1.922203,1.317046,2.527359,1.899628,0.102899,-2.656378,2.862176,1.840510,-0.275904,-1.238978,0.330253,0.284994
1963Q1,1.925707,1.282211,2.569204,1.898785,-0.057638,-2.816758,2.701481,1.513550,-0.120643,-1.040084,0.332326,0.330796
1963Q2,1.928179,1.249262,2.607096,1.904704,0.034881,-2.724761,2.794523,1.705327,-0.046481,-0.991024,0.334424,0.272698
1963Q3,1.930584,1.218715,2.642454,1.923971,0.691503,-2.069019,3.452026,2.334335,-0.161036,-1.024628,0.341801,0.310728
1963Q4,1.932704,1.190004,2.675404,1.906714,0.357521,-2.404140,3.119182,2.003913,-0.198133,-1.140775,0.338496,0.311412
1964Q1,1.933797,1.162119,2.705474,1.924849,0.982998,-1.779979,3.745975,2.187016,-0.361842,-1.092815,0.341415,0.399238
1964Q2,1.934608,1.135591,2.733625,1.929102,1.164641,-1.599748,3.929029,2.517091,-0.507856,-1.288148,0.335741,0.322725
1964Q3,1.935824,1.110929,2.760719,1.940773,1.428794,-1.337037,4.194625,2.766505,-0.649750,-1.389483,0.338192,0.326646
1964Q4,1.936369,1.086912,2.785827,1.924230,0.957808,-1.809452,3.725067,2.487623,-0.643962,-1.515488,0.337758,0.255842
1965Q1,1.935454,1.062627,2.808281,1.957433,1.732625,-1.036015,4.501266,2.763022,-0.778968,-1.393157,0.350604,0.369458
1965Q2,1.933429,1.038319,2.828538,1.964383,1.969449,-0.800499,4.739397,3.088432,-0.925111,-1.564429,0.350201,0.325358
1965Q3,1.929528,1.013133,2.845922,1.997976,2.675730,-0.095432,5.446891,3.571757,-1.185078,-1.669996,0.354879,0.385458
1965Q4,1.923842,0.987082,2.860602,2.017752,3.382981,0.610713,6.155248,3.909625,-1.534179,-1.838514,0.347628,0.478878
1966Q1,1.917922,0.961647,2.874196,2.039050,4.150318,1.377064,6.923571,4.208974,-1.919573,-1.995832,0.325838,0.593030
1966Q2,1.912279,0.937280,2.887278,2.008003,3.703461,0.929350,6.477572,3.820948,-2.068050,-2.232987,0.284665,0.543179
1966Q3,1.905889,0.912901,2.898876,2.024196,3.637311,0.862477,6.412145,3.695330,-2.103925,-2.229840,0.249836,0.497057
1966Q4,1.898990,0.888702,2.909277,2.040865,3.631869,0.856452,6.407287,3.756578,-2.084398,-2.224215,0.216602,0.426941
1967Q1,1.892247,0.865305,2.919190,2.036963,3.582347,0.806490,6.358204,3.429518,-2.039688,-2.065675,0.187071,0.427001
1967Q2,1.885558,0.842567,2.928550,2.031219,3.161982,0.385831,5.938134,3.277333,-1.932244,-2.081822,0.157923,0.295893
1967Q3,1.878660,0.820190,2.937130,2.056072,3.141980,0.365683,5.918276,3.424486,-1.850799,-2.039603,0.143696,0.231797
1967Q4,1.870669,0.797260,2.944079,2.050671,3.021305,0.245012,5.797598,3.326774,-1.770066,-1.989435,0.132586,0.203715
1968Q1,1.861064,0.773223,2.948904,2.105392,3.788216,1.012076,6.564355,3.901881,-1.896564,-1.981972,0.125863,0.238450
1968Q2,1.851286,0.749497,2.953075,2.118499,4.312957,1.537122,7.088793,4.245495,-2.129719,-2.125780,0.109361,0.276569
1968Q3,1.841923,0.726642,2.957204,2.095013,4.206319,1.430938,6.981700,4.034330,-2.273996,-2.253900,0.084748,0.271649
1968Q4,1.831892,0.703554,2.960230,2.099077,3.918694,1.143917,6.693470,3.997512,-2.293489,-2.378047,0.061369,0.173108
1969Q1,1.821420,0.680437,2.962403,2.128731,4.294065,1.520042,7.068088,4.061001,-2.347016,-2.272853,0.046852,0.218271
1969Q2,1.811179,0.657945,2.964414,2.110491,4.017795,1.244675,6.790915,3.921382,-2.309783,-2.321343,0.024263,0.148773
1969Q3,1.801617,0.636506,2.966728,2.111602,3.801939,1.029868,6.574009,3.579609,-2.240535,-2.188513,0.010382,0.148559
1969Q4,1.793594,0.616964,2.970224,2.106857,2.821599,0.050724,5.592474,3.321070,-1.973139,-2.200168,-0.003814,-0.018834
1970Q1,1.786533,0.598725,2.974341,2.057481,1.653751,-1.115786,4.423287,2.138030,-1.504366,-1.760329,-0.005029,0.015020
1970Q2,1.779540,0.580881,2.978200,2.035824,0.796219,-1.971836,3.564274,1.234845,-0.991095,-1.249054,-0.008756,0.035418
1970Q3,1.774056,0.564858,2.983255,2.053514,0.439536,-2.326899,3.205971,0.903770,-0.578946,-0.806236,-0.014027,0.059055
1970Q4,1.768151,0.548712,2.987589,1.951084,-1.005001,-3.769678,1.759676,-0.225633,-0.030694,-0.524113,-0.028526,-0.026210
1971Q1,1.760965,0.531573,2.990358,2.067811,0.022865,-2.739921,2.785652,0.269420,0.070327,-0.090723,-0.023782,0.094371
1971Q2,1.754904,0.515832,2.993975,2.028937,-0.055689,-2.816453,2.705075,0.503056,0.097166,-0.225259,-0.040778,0.003838
1971Q3,1.749602,0.501116,2.998089,1.990700,-0.111370,-2.869985,2.647245,0.233458,0.088557,-0.172303,-0.047232,0.027073
1971Q4,1.744302,0.486653,3.001952,1.970770,-0.357338,-3.113681,2.399005,0.181592,0.104341,-0.232402,-0.051918,-0.075347
1972Q1,1.737702,0.471132,3.004271,2.025268,-0.028122,-2.782074,2.725831,0.717133,0.082422,-0.305524,-0.042181,-0.110934
1972Q2,1.730647,0.455391,3.005903,2.048477,0.790582,-1.960865,3.542030,1.030399,-0.126874,-0.266407,-0.031828,0.018472
1972Q3,1.723172,0.439454,3.006890,2.020174,0.890904,-1.857930,3.639738,1.164294,-0.311098,-0.485566,-0.037365,0.006972
1972Q4,1.713592,0.421627,3.005557,2.050919,1.487131,-1.258986,4.233248,1.409914,-0.573221,-0.579280,-0.040432,0.059838
1973Q1,1.702925,0.402920,3.002930,2.133524,2.585427,-0.157876,5.328730,2.246284,-0.978939,-0.802626,-0.049823,0.114429
1973Q2,1.693106,0.385261,3.000950,2.094772,2.658606,-0.081793,5.399005,2.132584,-1.253900,-1.062834,-0.073533,0.167251
1973Q3,1.682958,0.367466,2.998451,2.071514,1.968689,-0.768721,4.706099,1.832262,-1.268136,-1.281840,-0.101691,0.003097
1973Q4,1.672831,0.349876,2.995787,2.143943,2.046694,-0.687652,4.781040,1.837060,-1.239230,-1.180994,-0.108610,-0.011234
1974Q1,1.663587,0.333347,2.993828,2.080691,0.996092,-1.735121,3.727305,1.041721,-0.942032,-1.074065,-0.116919,-0.108273
1974Q2,1.656147,0.318793,2.993501,2.173413,0.427218,-2.300804,3.155239,1.291882,-0.606177,-1.004847,-0.105358,-0.213664
1974Q3,1.652031,0.307728,2.996333,2.120145,-1.334079,-4.058858,1.390699,0.664201,0.000889,-0.887248,-0.093089,-0.307472
1974Q4,1.651373,0.300281,3.002465,2.017367,-3.160640,-5.882135,-0.439145,-0.939901,0.833512,-0.189788,-0.080153,-0.196735
1975Q1,1.651974,0.294245,3.009702,1.761395,-5.214461,-7.932642,-2.496280,-3.744027,1.835603,0.912184,-0.085790,-0.017076
1975Q2,1.651086,0.286869,3.015303,1.797000,-5.013019,-7.727865,-2.298172,-3.919476,2.442393,1.686926,-0.091578,-0.039062
1975Q3,1.649878,0.279315,3.020441,1.923403,-3.882596,-6.594099,-1.171093,-2.246252,2.487926,1.608249,-0.088079,-0.199777
1975Q4,1.648481,0.271709,3.025253,1.895043,-3.321461,-6.029623,-0.613298,-1.647153,2.263418,1.337039,-0.073936,-0.183656
1976Q1,1.647637,0.264789,3.030486,1.966100,-2.363369,-5.068207,0.341469,-0.602269,1.813933,0.930557,-0.057710,-0.142206
1976Q2,1.648674,0.259876,3.037471,1.870267,-2.529640,-5.231181,0.171900,-0.693505,1.562549,0.610791,-0.054708,-0.113991
1976Q3,1.650551,0.255928,3.045175,1.796764,-2.844436,-5.542721,-0.146151,-1.096370,1.522022,0.522995,-0.054115,-0.061457
1976Q4,1.652209,0.251878,3.052540,1.790216,-2.774531,-5.469615,-0.079447,-1.059656,1.524232,0.515239,-0.053749,-0.072188
1977Q1,1.652923,0.246998,3.058847,1.856198,-2.240845,-4.932797,0.451106,-0.257360,1.436984,0.339271,-0.048212,-0.135614
1977Q2,1.652872,0.241465,3.064280,1.913248,-1.311810,-4.000712,1.377093,0.607501,1.147271,0.102399,-0.037381,-0.111646
1977Q3,1.653790,0.237006,3.070575,1.907344,-0.598694,-3.284644,2.087257,1.063759,0.765462,-0.193843,-0.030873,-0.033745
1977Q4,1.656048,0.233989,3.078108,1.837806,-0.926446,-3.609557,1.756664,1.033554,0.584041,-0.531191,-0.030350,-0.128153
1978Q1,1.656330,0.229094,3.083565,1.879559,-1.046891,-3.727288,1.633506,1.455648,0.533885,-0.795295,-0.013820,-0.244322
1978Q2,1.655396,0.223080,3.087713,2.054890,0.618759,-2.059066,3.296584,2.640659,0.175625,-0.831899,0.015285,-0.015673
1978Q3,1.655104,0.217798,3.092410,1.865722,0.583306,-2.092103,3.258715,1.962682,-0.065877,-0.840517,0.005052,0.069402
1978Q4,1.654941,0.212734,3.097148,1.897082,0.823254,-1.849904,3.496411,2.074252,-0.294860,-1.041501,-0.009853,0.119406
1979Q1,1.655336,0.208313,3.102359,1.789851,0.498685,-2.172389,3.169758,1.356524,-0.352119,-0.917594,-0.031444,0.066300
1979Q2,1.655845,0.204089,3.107602,1.957136,0.186995,-2.482154,2.856144,2.261433,-0.252057,-1.403616,-0.042423,-0.081893
1979Q3,1.656908,0.200495,3.113320,1.929386,-0.084197,-2.751574,2.583180,1.766905,-0.115205,-1.137247,-0.041298,-0.045606
1979Q4,1.658944,0.197953,3.119935,1.970389,-0.691919,-3.357672,1.973835,1.811615,0.120996,-1.201972,-0.045532,-0.102684
1980Q1,1.663675,0.198177,3.129172,2.026751,-1.467289,-4.131559,1.196981,1.637623,0.446570,-1.201451,-0.048554,-0.072567
1980Q2,1.669875,0.199942,3.139808,1.772290,-3.663556,-6.326479,-1.000633,-0.775258,1.156333,-0.568928,-0.060596,-0.087813
1980Q3,1.673779,0.199477,3.148080,1.878547,-4.083465,-6.745173,-1.421758,-1.052048,1.743787,-0.013107,-0.052505,-0.191745
1980Q4,1.675819,0.197214,3.154423,2.140406,-3.064241,-5.724862,-0.403620,0.586895,1.876227,-0.078877,-0.029156,-0.244190
1981Q1,1.678884,0.196039,3.161730,2.125767,-2.481950,-5.141609,0.177709,0.673765,1.743786,0.027754,-0.008509,-0.084764
1981Q2,1.682538,0.195512,3.169564,1.975278,-3.548385,-6.207201,-0.889569,-0.329459,1.794510,0.045585,-0.006535,-0.164655
1981Q3,1.687210,0.196060,3.178359,2.061379,-3.756781,-6.414869,-1.098692,-0.592016,1.898688,0.255483,0.008794,-0.078771
1981Q4,1.694853,0.199635,3.190071,1.829183,-5.540295,-8.197767,-2.882824,-2.712995,2.423205,0.829797,0.004463,-0.016454
1982Q1,1.703343,0.204109,3.202576,1.711205,-7.303020,-9.959980,-4.646059,-4.308991,3.205470,1.567197,0.002652,-0.141589
1982Q2,1.712323,0.209125,3.215522,1.726170,-7.833431,-10.489982,-5.176880,-5.046679,3.835649,2.326901,0.017381,-0.087875
1982Q3,1.722483,0.215368,3.229598,1.735835,-8.791829,-11.448069,-6.135590,-5.399106,4.440392,2.634930,0.024631,-0.146212
1982Q4,1.731744,0.220759,3.242729,1.612280,-9.449739,-12.105762,-6.793717,-6.760426,4.909728,3.320884,0.037085,-0.039020
1983Q1,1.738580,0.223769,3.253392,1.796776,-8.644534,-11.300429,-5.988638,-5.668206,4.977342,3.328211,0.051673,-0.127558
1983Q2,1.743269,0.224673,3.261865,1.775146,-7.305454,-9.961310,-4.649598,-5.345179,4.667600,3.510964,0.073730,-0.021021
1983Q3,1.746139,0.223799,3.268479,2.017969,-5.959436,-8.615335,-3.303536,-3.327702,4.084264,2.595669,0.091032,-0.064293
1983Q4,1.747664,0.221618,3.273711,2.006479,-4.808212,-7.464235,-2.152189,-2.750037,3.401065,2.284733,0.113533,-0.043780
1984Q1,1.748244,0.218527,3.277960,2.081898,-4.062336,-6.718561,-1.406112,-1.929666,2.811280,1.685870,0.133277,-0.005306
1984Q2,1.748528,0.215176,3.281880,2.144162,-3.580243,-6.236743,-0.923742,-1.453331,2.371011,1.253124,0.146244,0.075030
1984Q3,1.748669,0.211714,3.285624,2.027149,-3.677534,-6.334382,-1.020687,-2.213206,2.162548,1.318860,0.146488,0.176171
1984Q4,1.748127,0.207599,3.288655,2.006500,-3.742797,-6.400061,-1.085533,-2.550824,2.097354,1.423274,0.139880,0.166745
1985Q1,1.747063,0.202991,3.291135,2.165586,-3.699447,-6.357194,-1.041700,-1.957129,2.082417,1.120110,0.132838,0.165554
1985Q2,1.745171,0.197582,3.292759,2.078736,-3.687442,-6.345736,-1.029148,-2.521754,2.085220,1.397648,0.121315,0.201127
1985Q3,1.742757,0.191676,3.293837,2.165339,-3.230476,-5.889379,-0.571572,-2.114379,1.979001,1.325495,0.107300,0.234395
1985Q4,1.740595,0.186047,3.295143,2.095624,-3.234330,-5.893903,-0.574757,-2.290537,1.898838,1.369842,0.084999,0.186756
1986Q1,1.738585,0.180591,3.296579,2.128158,-3.346887,-6.007188,-0.686586,-2.223744,1.872688,1.224615,0.064612,0.182660
1986Q2,1.735983,0.174564,3.297402,2.007177,-3.499973,-6.161058,-0.838889,-2.996184,1.900900,1.520102,0.042378,0.187304
1986Q3,1.732715,0.167889,3.297541,2.075053,-3.107277,-5.769200,-0.445353,-2.608220,1.851177,1.511181,0.024553,0.118731
1986Q4,1.729167,0.160951,3.297382,2.088745,-2.956901,-5.619716,-0.294087,-2.362309,1.774506,1.371555,0.012242,0.049465
1987Q1,1.724841,0.153251,3.296430,2.084369,-2.691881,-5.355639,-0.028123,-2.219502,1.653740,1.339050,0.010774,-0.014417
1987Q2,1.719847,0.144898,3.294796,2.220107,-2.244059,-4.908811,0.420693,-1.347520,1.468955,0.974493,0.019101,-0.060601
1987Q3,1.713890,0.135594,3.292186,2.239323,-2.004728,-4.670522,0.661067,-1.040172,1.300994,0.791187,0.030822,-0.082519
1987Q4,1.707428,0.125796,3.289060,2.317137,-1.403115,-4.070001,1.263770,-0.626265,1.059570,0.637259,0.045676,0.014961
1988Q1,1.700605,0.115646,3.285563,2.269771,-1.466325,-4.134348,1.201698,-0.709903,0.919932,0.490572,0.048490,-0.002511
1988Q2,1.693392,0.105116,3.281669,2.400530,-1.070381,-3.739588,1.598826,-0.059664,0.760111,0.228589,0.056559,0.015951
1988Q3,1.685739,0.094151,3.277327,2.348680,-1.167147,-3.837583,1.503290,-0.260234,0.688223,0.171966,0.058400,0.033101
1988Q4,1.677233,0.082339,3.272126,2.418177,-0.776211,-3.447921,1.895499,0.035711,0.575423,0.126800,0.061716,0.070829
1989Q1,1.668478,0.070282,3.266674,2.433896,-0.654794,-3.327821,2.018233,0.184540,0.470580,0.025026,0.058051,0.078485
1989Q2,1.659295,0.057800,3.260790,2.370922,-0.716218,-3.390606,1.958169,-0.249477,0.425302,0.147736,0.050416,0.119250
1989Q3,1.649876,0.045083,3.254670,2.333467,-0.737160,-3.412951,1.938631,-0.624133,0.404697,0.307548,0.038768,0.133631
1989Q4,1.640184,0.032091,3.248276,2.318088,-1.054186,-3.731423,1.623051,-0.971471,0.479762,0.363112,0.025012,0.113888
1990Q1,1.630273,0.018881,3.241665,2.443857,-1.127933,-3.806658,1.550791,-0.579950,0.555786,0.244466,0.016243,0.050667
1990Q2,1.621110,0.006415,3.235805,2.465084,-1.449071,-4.129325,1.231184,-0.616117,0.677525,0.257868,0.010012,0.018369
1990Q3,1.613706,-0.004297,3.231708,2.363752,-2.158534,-4.840360,0.523291,-1.463441,0.917861,0.539571,0.002591,0.053741
1990Q4,1.607845,-0.013470,3.229159,2.200595,-3.368905,-6.052343,-0.685467,-2.650970,1.350886,0.942076,-0.008513,-0.019806
1991Q1,1.601889,-0.022744,3.226523,2.157985,-4.149391,-6.834484,-1.464298,-3.361050,1.829390,1.360202,-0.007315,-0.065494
1991Q2,1.595859,-0.032102,3.223821,2.194360,-4.062658,-6.749447,-1.375869,-3.363322,2.118118,1.732462,0.003922,-0.056349
1991Q3,1.591046,-0.040252,3.222344,2.226964,-4.244545,-6.933072,-1.556018,-3.022537,2.300586,1.716817,0.013306,-0.103986
1991Q4,1.586969,-0.047676,3.221615,2.121586,-4.799323,-7.489630,-2.109016,-3.543011,2.490554,1.891510,0.022585,-0.069208
1992Q1,1.582897,-0.055108,3.220902,2.090616,-4.809137,-7.501266,-2.117008,-3.830090,2.602143,2.114059,0.026272,0.052967
1992Q2,1.578857,-0.062521,3.220234,2.022006,-4.667226,-7.361220,-1.973232,-4.070186,2.644581,2.287262,0.013409,0.136833
