date,ptr
1960Q1,
1960Q2,
1960Q3,
1960Q4,
1961Q1,
1961Q2,
1961Q3,
1961Q4,
1962Q1,
1962Q2,
1962Q3,
1962Q4,
1963Q1,
1963Q2,
1963Q3,
1963Q4,
1964Q1,
1964Q2,
1964Q3,
1964Q4,
1965Q1,
1965Q2,
1965Q3,
1965Q4,
1966Q1,
1966Q2,
1966Q3,
1966Q4,
1967Q1,
1967Q2,
1967Q3,
1967Q4,
1968Q1,
1968Q2,
1968Q3,
1968Q4,
1969Q1,
1969Q2,
1969Q3,
1969Q4,
1970Q1,
1970Q2,
1970Q3,
1970Q4,
1971Q1,
1971Q2,
1971Q3,
1971Q4,
1972Q1,
1972Q2,
1972Q3,
1972Q4,
1973Q1,
1973Q2,
1973Q3,
1973Q4,
1974Q1,
1974Q2,
1974Q3,
1974Q4,
1975Q1,
1975Q2,
1975Q3,
1975Q4,
1976Q1,
1976Q2,
1976Q3,
1976Q4,
1977Q1,
1977Q2,
1977Q3,
1977Q4,
1978Q1,
1978Q2,
1978Q3,6.2
1978Q4,
1979Q1,
1979Q2,6.75
1979Q3,
1979Q4,
1980Q1,
1980Q2,
1980Q3,8.61
1980Q4,8.82
1981Q1,8.28
1981Q2,7.87
1981Q3,7.62
1981Q4,7.73
1982Q1,7.16
1982Q2,6.76
1982Q3,6.765
1982Q4,6.6
1983Q1,6.32
1983Q2,6.58
1983Q3,6.63
1983Q4,6.65
1984Q1,6.58
1984Q2,6.505
1984Q3,6.05
1984Q4,5.7
1985Q1,5.36
1985Q2,5.475
1985Q3,5.695
1985Q4,5.615
1986Q1,5.285
1986Q2,5.2533
1986Q3,5.12
1986Q4,5.1067
1987Q1,5.285
1987Q2,5.295
1987Q3,5.48
1987Q4,5.14
1988Q1,5.235
1988Q2,5.045
1988Q3,4.92
1988Q4,4.6667
1989Q1,4.69
1989Q2,4.74
1989Q3,4.53
1989Q4,4.305
1990Q1,
1990Q2,4.27
1990Q3,4.39
1990Q4,4.3
1991Q1,4.315
1991Q2,4.34
1991Q3,
